"userid","username","firstname","lastname","city","state","email","phone","likesports","liketheatre","likeconcerts","likejazz","likeclassical","likeopera","likerock","likevegas","likebroadway","likemusicals"
2,"PGL08LJI","Vladimir","Humphrey","Murfreesboro","SK","Suspendisse.tristique@nonnisiAenean.edu","(783) 492-1886",null,null,null,true,true,null,null,true,false,true
4,"XDZ38RDD","Barry","Roy","Omaha","AB","sed@lacusUtnec.ca","(355) 452-8168",false,true,null,false,null,null,null,null,null,false
5,"AEB55QTM","Reagan","Hodge","Forest Lake","NS","Cum@accumsan.com","(476) 519-9131",null,null,true,false,null,null,true,true,false,true
7,"OWY35QYB","Tamekah","Juarez","Moultrie","WV","elementum@semperpretiumneque.ca","(297) 875-7247",null,null,null,true,true,false,null,null,false,false
9,"MSD36KVR","Mufutau","Watkins","Port Orford","MD","Integer.mollis.Integer@tristiquealiquet.org","(725) 719-7670",true,false,null,false,true,null,null,null,false,true
10,"WKW41AIW","Naida","Calderon","Waterbury","MB","Donec.fringilla@sodalesat.org","(197) 726-8249",false,false,false,null,false,true,null,true,null,null
15,"OWU78MTR","Scarlett","Mayer","Gadsden","GA","lorem.ipsum@Vestibulumante.com","(189) 882-8412",true,false,true,null,null,true,null,null,true,null
16,"ZMG93CDD","Kieran","Drake","Hot Springs","BC","molestie.tellus@dapibusgravidaAliquam.com","(192) 914-0016",null,true,true,null,false,null,true,true,null,false
18,"VDP05MXU","Germaine","Valdez","Kokomo","WY","cursus.Integer@arcuVestibulumante.com","(998) 879-8668",null,true,true,null,true,true,null,false,true,true
19,"CXQ97IWP","Amal","Landry","Lomita","NT","euismod@turpis.org","(891) 526-1468",null,false,true,null,true,null,null,false,false,true
22,"RHT62AGI","Hermione","Trevino","Walnut","WI","non.justo.Proin@ametconsectetuer.edu","(245) 110-6540",null,true,null,false,false,null,null,true,false,null
23,"HOH86KXG","Vielka","Glass","Fort Worth","MB","non.ante.bibendum@porttitortellus.org","(170) 580-0881",null,null,null,null,null,null,true,null,null,null
24,"KJQ48LNY","Driscoll","Herring","Buffalo","CT","eros@blanditatnisi.org","(219) 705-8986",null,null,null,true,null,null,true,false,true,null
25,"IFJ28JVS","Ezra","Perry","Florence","NU","et@Nuncquisarcu.org","(818) 374-8925",null,false,false,null,null,true,null,null,null,null
27,"KOY02CVE","Martina","Wiley","El Cerrito","NT","augue@Donec.ca","(163) 567-9422",null,true,null,false,false,true,null,true,null,true
28,"GOK50CHC","Kellie","Mcdowell","Henderson","NU","cursus@pedeacurna.edu","(409) 921-6869",null,null,true,null,null,null,null,null,null,null
29,"HUH27PKK","Helen","Avery","Garland","PE","in.faucibus.orci@ultrices.edu","(385) 925-3875",null,false,null,true,null,null,null,true,false,null
33,"PFD07GEF","Shafira","Glenn","Starkville","WA","at@Duis.com","(313) 679-6310",true,false,true,true,false,false,null,null,null,true
35,"QRV60YSK","Kitra","Blanchard","Bellflower","SK","quam@facilisisvitaeorci.ca","(319) 837-9364",false,null,null,null,null,false,true,null,false,null
37,"ETK12XWE","Renee","Hardin","Gardena","YT","risus.Donec.egestas@Suspendissecommodo.edu","(337) 469-2711",false,null,null,false,null,null,null,true,true,null
